"date";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"10-10-2011";"15.6";"765.3";"767.5";"";"65";"Wind blowing from the east";"2";"";"";"no clouds";" ";"";"";"13.8";"22.8";"";"";"";"";"";"10.0";"9.1";"";"";"";"";"";"";
"30.10.2011 18:00";"17.9";"763.8";"766.0";"";"56";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"9.0";"";"";"";"";"";"";
"30.10.2011 15:00";"22.5";"763.5";"765.7";"";"33";"Wind blowing from the south";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"5.3";"";"";"";"";"";"";
"30.10.2011 12:00";"20.3";"764.0";"766.2";"";"33";"Wind blowing from the south";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"3.4";"";"";"";"";"";"";
"30.10.2011 09:00";"13.8";"764.0";"766.2";"";"57";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"9.1";"16.8";"";"";"";"";"";"10.0";"5.4";"";"";"Dry (without cracks, no appreciable amount of dust or loose sand)";"";"";"";
"30.10.2011 03:00";"12.0";"760.9";"763.1";"";"49";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"1.7";"";"";"";"";"";"";
"30.10.2011 00:00";"14.8";"760.4";"762.6";"";"64";"Wind blowing from the south-east";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"8.1";"";"";"";"";"";"";
"29.10.2011 21:00";"16.8";"758.6";"760.8";"";"62";"Wind blowing from the south-east";"2";"";"";"no clouds";" ";"";"";"16.8";"24.7";"";"";"";"";"";"10.0";"9.6";"";"";"";"";"";"";
"29.10.2011 18:00";"20.0";"756.6";"758.8";"";"49";"Wind blowing from the south";"4";"";"";"40%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"8.9";"";"";"";"";"";"";
"29.10.2011 15:00";"23.3";"756.3";"758.5";"";"39";"Wind blowing from the south-west";"4";"";"";"50%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"50%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"8.7";"";"";"";"";"";"";
"29.10.2011 12:00";"23.7";"756.7";"758.9";"";"41";"Wind blowing from the west-southwest";"1";"";"";"60%.";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"10%  or less, but not 0";"300-600";"Altocumulus translucidus at a single level.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"10.0";"9.8";"20.0";"";"";"";"";"";
"29.10.2011 09:00";"18.4";"756.4";"757.6";"";"73";"Wind blowing from the south-west";"2";"";"";"70 – 80%.";" ";"";"";"15.1";"21.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"10.0";"13.5";"0.2";"24";"Dry (without cracks, no appreciable amount of dust or loose sand)";"";"";"";
"29.10.2011 06:00";"15.9";"755.8";"758.1";"";"80";"Wind blowing from the west";"2";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"10.0";"12.5";"";"";"";"";"";"";
"29.10.2011 03:00";"17.2";"755.5";"757.7";"";"82";"Wind blowing from the north-west";"1";"";"";"100%.";"State of sky on the whole unchanged. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"10.0";"14.1";"4.2";"6";"";"";"";"";
"29.10.2011 00:00";"17.0";"756.2";"758.4";"";"82";"Wind blowing from the south-east";"2";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"7.0";"13.9";"";"";"";"";"";"";
"28.10.2011 21:00";"21.8";"754.6";"756.8";"";"46";"Wind blowing from the south";"2";"";"";"90  or more, but not 100%";" ";"";"";"18.2";"27.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"9.7";"";"";"";"";"";"";
"28.10.2011 18:00";"23.8";"753.4";"755.6";"";"30";"Wind blowing from the north-east";"4";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"5.1";"";"";"";"";"";"";
"28.10.2011 15:00";"25.4";"754.2";"756.4";"";"33";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"8.0";"";"";"";"";"";"";
"28.10.2011 12:00";"26.5";"755.2";"757.4";"";"29";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"6.8";"";"";"";"";"";"";
"28.10.2011 09:00";"18.2";"755.5";"757.7";"";"47";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"10.1";"18.2";"";"";"";"";"";"10.0";"6.7";"";"";"Dry (without cracks, no appreciable amount of dust or loose sand)";"";"";"";
"28.10.2011 06:00";"10.9";"755.1";"757.4";"";"75";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"6.7";"";"";"";"";"";"";
