date,bikes,broken
1559756640,69,128
1559757600,76,121
1559758500,74,120
1559759400,74,116
1559760300,75,116
1559761200,73,117
1559762100,64,116
1559763000,67,116
1559763900,64,117
1559764800,67,116
1559771100,69,116
1559772000,79,116
1559772900,56,116
1559773800,61,116
1559774700,57,116
1559775600,59,116
1559776500,69,116
1559777400,66,116
1559778300,61,117
1559779200,61,117
1559780100,57,117
1559781000,58,118
1559781900,65,119
1559782800,62,118
1559783700,68,117
1559784600,64,117
1559785500,65,117
1559786400,78,117
1559787300,69,117
1559788200,67,118
1559789100,72,118
1559790000,70,118
1559790900,69,118
1559791800,64,118
1559792700,62,116
1559793600,61,117
1559794500,63,117
1559795400,68,117
1559796300,74,111
1559797200,88,111
1559798100,89,106
1559799000,94,101
1559799900,92,102
1559800800,91,102
1559801700,94,102
1559802600,92,102
1559803500,88,102
1559804400,90,102
1559805300,91,103
1559806200,91,103
1559807100,96,103
1559808000,93,103
1559808900,94,103
1559809800,92,104
1559810700,101,104
1559811600,106,104
1559812500,103,104
1559813400,96,104
1559814300,94,104
1559815200,99,104
1559816100,113,99
1559817000,113,98
1559817900,103,98
1559818800,84,99
1559819700,89,99
1559820600,87,101
1559821500,112,104
1559822400,134,107
1559823300,144,109
1559824200,150,109
1559825100,186,110
1559826000,191,109
1559826900,180,111
